angola,all,2022,06
angola,all,2022,06
angola,all,2022,06
angola,all,2022,06
argentina,all,2022,01
argentina,advertising-and-marketing,2022,01
argentina,banking,2022,01
argentina,computer-software-and-development,2022,01
argentina,e-commerce-and-retail,2022,01
argentina,entertainment,2022,01
argentina,finance,2022,01
argentina,games,2022,01
argentina,health,2022,01
argentina,information-technology,2022,01
argentina,news-and-media,2022,01
argentina,real-estate,2022,01
angola,all,2022,06
argentina,all,2022,01
argentina,advertising-and-marketing,2022,01
argentina,banking,2022,01
argentina,computer-software-and-development,2022,01
argentina,e-commerce-and-retail,2022,01
argentina,entertainment,2022,01
argentina,finance,2022,01
argentina,games,2022,01
argentina,health,2022,01
argentina,information-technology,2022,01
argentina,news-and-media,2022,01
argentina,online-services,2022,01
argentina,real-estate,2022,01
argentina,sports,2022,01
australia,all,2021,12
australia,all,2022,05
australia,all,2022,08
australia,advertising-and-marketing,2022,01
australia,banking,2022,01
australia,computer-software-and-development,2022,01
australia,e-commerce-and-retail,2022,01
australia,entertainment,2021,12
australia,finance,2021,12
australia,games,2022,01
australia,health,2021,12
australia,information-technology,2022,01
australia,news-and-media,2022,01
australia,online-services,2022,01
australia,real-estate,2022,01
australia,sports,2022,01
australia,travel-and-tourism,2022,01
austria,all,2022,05
austria,all,2022,06
belgium,all,2022,05
belgium,all,2022,06
brazil,all,2021,12
brazil,all,2022,05
brazil,all,2022,06
brazil,advertising-and-marketing,2022,01
brazil,banking,2022,01
brazil,computer-software-and-development,2022,01
brazil,e-commerce-and-retail,2022,01
brazil,entertainment,2021,12
brazil,finance,2021,12
brazil,games,2022,01
brazil,health,2021,12
brazil,information-technology,2022,01
brazil,news-and-media,2022,01
brazil,online-services,2022,01
brazil,real-estate,2022,01
brazil,sports,2022,01
brazil,travel-and-tourism,2022,01
canada,all,2021,12
canada,all,2022,04
canada,all,2022,05
canada,advertising-and-marketing,2022,01
canada,banking,2022,01
canada,computer-software-and-development,2022,01
canada,e-commerce-and-retail,2022,01
canada,entertainment,2021,12
canada,finance,2021,12
canada,games,2022,01
canada,health,2021,12
canada,information-technology,2022,01
canada,news-and-media,2022,01
canada,online-services,2022,01
canada,real-estate,2022,01
canada,sports,2022,01
canada,travel-and-tourism,2022,01
france,all,2021,12
france,all,2022,05
france,all,2022,06
france,all,2022,08
france,advertising-and-marketing,2022,01
france,banking,2022,01
france,computer-software-and-development,2022,01
france,e-commerce-and-retail,2022,01
france,entertainment,2021,12
france,finance,2021,12
france,games,2022,01
france,health,2021,12
france,information-technology,2022,01
france,news-and-media,2022,01
france,online-services,2022,01
france,real-estate,2022,01
france,sports,2022,01
france,travel-and-tourism,2022,01
germany,all,2021,12
germany,advertising-and-marketing,2022,01
germany,banking,2022,01
germany,computer-software-and-development,2022,01
germany,e-commerce-and-retail,2022,01
germany,entertainment,2021,12
germany,finance,2021,12
germany,games,2022,01
germany,health,2021,12
germany,information-technology,2022,01
germany,news-and-media,2022,01
germany,online-services,2022,01
germany,real-estate,2022,01
germany,sports,2022,01
germany,travel-and-tourism,2022,01
global,all,2022,06
global,accommodation-and-hotels,2022,05
global,advertising-and-marketing,2022,01
global,airlines,2022,05
global,airlines,2022,06
global,banking,2022,01
global,banking,2022,05
global,computer-software-and-development,2022,01
global,computer-software-and-development,2022,05
global,computer-software-and-development,2022,09
global,e-commerce-and-retail,2022,01
global,e-commerce-and-retail,2022,05
global,e-commerce-and-retail,2022,09
global,education,2022,05
global,entertainment,2021,12
global,entertainment,2022,08
global,finance,2021,12
global,finance,2022,03
global,games,2022,01
global,health,2021,12
global,health,2022,08
global,information-technology,2022,01
global,information-technology,2022,09
global,market-research,2022,10
global,news-and-media,2022,01
global,news-and-media,2022,06
global,online-services,2022,01
global,online-services,2022,06
global,real-estate,2022,01
global,science,2022,06
global,sports,2022,01
global,travel-and-tourism,2022,01
global,travel-and-tourism,2022,07
global,vehicles,2022,06
greece,all,2022,05
greece,all,2022,06
india,all,2021,12
india,all,2022,05
india,all,2022,07
india,advertising-and-marketing,2022,01
india,banking,2022,01
india,computer-software-and-development,2022,01
india,e-commerce-and-retail,2022,01
india,entertainment,2021,12
india,finance,2021,12
india,games,2022,01
india,information-technology,2022,01
india,news-and-media,2022,01
india,online-services,2022,01
india,real-estate,2022,01
india,sports,2022,01
india,travel-and-tourism,2022,01
indonesia,all,2021,12
indonesia,all,2022,06
indonesia,advertising-and-marketing,2022,01
indonesia,banking,2022,01
indonesia,computer-software-and-development,2022,01
indonesia,entertainment,2021,12
indonesia,finance,2021,12
indonesia,games,2022,01
indonesia,information-technology,2022,01
indonesia,news-and-media,2022,01
indonesia,online-services,2022,01
indonesia,real-estate,2022,01
indonesia,sports,2022,01
indonesia,travel-and-tourism,2022,01
italy,all,2022,01
italy,all,2022,09
italy,advertising-and-marketing,2022,01
italy,banking,2022,01
italy,computer-software-and-development,2022,01
italy,e-commerce-and-retail,2022,01
italy,entertainment,2022,01
italy,finance,2022,01
italy,games,2022,01
italy,health,2022,01
italy,information-technology,2022,01
italy,news-and-media,2022,01
italy,online-services,2022,01
italy,real-estate,2022,01
